# spack find --format "{name},{version},{compiler},{variants},{arch}"
bzip2,1.0.8,cce@12.0.0,~debug~pic+shared,cray-sles15-zen2
bzip2,1.0.8,cce@12.0.1,~debug~pic+shared,cray-sles15-zen2
bzip2,1.0.8,gcc@7.5.0,~debug~pic+shared,linux-sles15-x86_64
bzip2,1.0.8,gcc@10.2.0,~debug~pic+shared,cray-sles15-zen2
bzip2,1.0.8,gcc@10.3.0,~debug~pic+shared,cray-sles15-zen2
c-blosc,1.21.0,cce@12.0.0,+avx2~ipo build_type=RelWithDebInfo,cray-sles15-zen2
c-blosc,1.21.0,cce@12.0.1,+avx2~ipo build_type=RelWithDebInfo,cray-sles15-zen2
c-blosc,1.21.0,gcc@10.2.0,+avx2~ipo build_type=RelWithDebInfo,cray-sles15-zen2
c-blosc,1.21.0,gcc@10.3.0,+avx2~ipo build_type=RelWithDebInfo,cray-sles15-zen2
cabana,0.3.0,cce@12.0.0,~cuda~ipo+mpi~openmp+serial+shared build_type=RelWithDebInfo,cray-sles15-zen2
cabana,0.3.0,cce@12.0.1,~cuda~ipo+mpi~openmp+serial+shared build_type=RelWithDebInfo,cray-sles15-zen2
cabana,0.3.0,gcc@10.2.0,~cuda~ipo+mpi~openmp+serial+shared build_type=RelWithDebInfo,cray-sles15-zen2
cabana,0.3.0,gcc@10.3.0,~cuda~ipo+mpi~openmp+serial+shared build_type=RelWithDebInfo,cray-sles15-zen2
cairo,1.16.0,gcc@7.5.0,~X+fc+ft+gobject+pdf~png~svg patches=7c4da77767fe9feb03f8051def0832f0c67f99162913275cfa127a88df19cf51,linux-sles15-x86_64
cairo,1.16.0,gcc@7.5.0,+X+fc+ft+gobject+pdf~png~svg patches=7c4da77767fe9feb03f8051def0832f0c67f99162913275cfa127a88df19cf51,linux-sles15-x86_64
caliper,2.5.0,gcc@10.2.0,+adiak~cuda~fortran+gotcha~ipo+libdw~libpfm+libunwind+mpi+papi+sampler+shared~sosflow build_type=RelWithDebInfo cuda_arch=none,cray-sles15-zen2
caliper,2.5.0,gcc@10.3.0,+adiak~cuda~fortran+gotcha~ipo+libdw~libpfm+libunwind+mpi+papi+sampler+shared~sosflow build_type=RelWithDebInfo cuda_arch=none,cray-sles15-zen2
camp,0.1.0,cce@12.0.0,~cuda~ipo~rocm~tests amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none,cray-sles15-zen2
camp,0.1.0,cce@12.0.1,~cuda~ipo~rocm~tests amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none,cray-sles15-zen2
camp,0.1.0,gcc@10.2.0,~cuda~ipo~rocm~tests amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none,cray-sles15-zen2
camp,0.1.0,gcc@10.3.0,~cuda~ipo~rocm~tests amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none,cray-sles15-zen2
ccache,4.3,gcc@7.5.0,~ipo build_type=RelWithDebInfo,linux-sles15-x86_64
chai,2.3.0,cce@12.0.0,~benchmarks~cuda~enable_pick+examples~ipo~raja~rocm+shared~tests amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none,cray-sles15-zen2
chai,2.3.0,cce@12.0.1,~benchmarks~cuda~enable_pick+examples~ipo~raja~rocm+shared~tests amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none,cray-sles15-zen2
chai,2.3.0,gcc@10.2.0,~benchmarks~cuda~enable_pick+examples~ipo~raja~rocm+shared~tests amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none,cray-sles15-zen2
chai,2.3.0,gcc@10.3.0,~benchmarks~cuda~enable_pick+examples~ipo~raja~rocm+shared~tests amdgpu_target=none build_type=RelWithDebInfo cuda_arch=none,cray-sles15-zen2
cinch,master,cce@12.0.0,,cray-sles15-zen2
cinch,master,cce@12.0.1,,cray-sles15-zen2
cinch,master,gcc@10.2.0,,cray-sles15-zen2
cinch,master,gcc@10.3.0,,cray-sles15-zen2
cmake,3.20.2,cce@12.0.0,~doc+ncurses+openssl+ownlibs~qt build_type=Release,cray-sles15-zen2
cmake,3.20.2,cce@12.0.1,~doc+ncurses+openssl+ownlibs~qt build_type=Release,cray-sles15-zen2
cmake,3.20.2,gcc@7.5.0,~doc+ncurses+openssl+ownlibs~qt build_type=Release,linux-sles15-x86_64
cmake,3.20.2,gcc@10.2.0,~doc+ncurses+openssl+ownlibs~qt build_type=Release,cray-sles15-zen2
cmake,3.20.2,gcc@10.3.0,~doc+ncurses+openssl+ownlibs~qt build_type=Release,cray-sles15-zen2
cmake,3.21.2-dev,gcc@7.5.0,~doc+ncurses+openssl+ownlibs~qt build_type=Release,linux-sles15-x86_64
conduit,0.7.2,cce@12.0.0,~adios~doc~doxygen+fortran+hdf5+hdf5_compat~ipo+mpi~python+shared~silo+test~zfp build_type=RelWithDebInfo,cray-sles15-zen2
conduit,0.7.2,cce@12.0.1,~adios~doc~doxygen+fortran+hdf5+hdf5_compat~ipo+mpi~python+shared~silo+test~zfp build_type=RelWithDebInfo,cray-sles15-zen2
conduit,0.7.2,gcc@10.2.0,~adios~doc~doxygen+fortran+hdf5+hdf5_compat~ipo+mpi~python+shared~silo+test~zfp build_type=RelWithDebInfo,cray-sles15-zen2
conduit,0.7.2,gcc@10.3.0,~adios~doc~doxygen+fortran+hdf5+hdf5_compat~ipo+mpi~python+shared~silo+test~zfp build_type=RelWithDebInfo,cray-sles15-zen2
cray-libsci,21.06.1.1,cce@12.0.0,~mpi~openmp+shared,cray-sles15-zen2
cray-libsci,21.06.1.1,cce@12.0.1,~mpi~openmp+shared,cray-sles15-zen2
cray-libsci,21.06.1.1,gcc@10.2.0,~mpi~openmp+shared,cray-sles15-zen2
cray-libsci,21.06.1.1,gcc@10.3.0,~mpi~openmp+shared,cray-sles15-zen2
cray-mpich,8.1.7,cce@12.0.0,,cray-sles15-zen2
cray-mpich,8.1.7,cce@12.0.1,,cray-sles15-zen2
cray-mpich,8.1.7,gcc@10.2.0,,cray-sles15-zen2
cray-mpich,8.1.7,gcc@10.3.0,,cray-sles15-zen2
curl,7.76.1,cce@12.0.0,~darwinssl~gssapi~libssh~libssh2~nghttp2,cray-sles15-zen2
curl,7.76.1,cce@12.0.1,~darwinssl~gssapi~libssh~libssh2~nghttp2,cray-sles15-zen2
curl,7.76.1,gcc@7.5.0,~darwinssl~gssapi~libssh~libssh2~nghttp2,linux-sles15-x86_64
curl,7.76.1,gcc@10.2.0,~darwinssl~gssapi~libssh~libssh2~nghttp2,cray-sles15-zen2
curl,7.76.1,gcc@10.3.0,~darwinssl~gssapi~libssh~libssh2~nghttp2,cray-sles15-zen2
darshan-util,3.3.0,cce@12.0.0,~apmpi~apxc~bzip2+shared,cray-sles15-zen2
darshan-util,3.3.0,cce@12.0.1,~apmpi~apxc~bzip2+shared,cray-sles15-zen2
darshan-util,3.3.0,gcc@7.5.0,~apmpi~apxc~bzip2+shared,linux-sles15-x86_64
darshan-util,3.3.0,gcc@10.2.0,~apmpi~apxc~bzip2+shared,cray-sles15-zen2
darshan-util,3.3.0,gcc@10.3.0,~apmpi~apxc~bzip2+shared,cray-sles15-zen2
dbus,1.12.8,gcc@7.5.0,,linux-sles15-x86_64
diffutils,3.7,cce@12.0.0,,cray-sles15-zen2
diffutils,3.7,cce@12.0.1,,cray-sles15-zen2
diffutils,3.7,gcc@7.5.0,,linux-sles15-x86_64
diffutils,3.7,gcc@10.2.0,,cray-sles15-zen2
diffutils,3.7,gcc@10.3.0,,cray-sles15-zen2
docbook-xml,4.3,gcc@7.5.0,,linux-sles15-x86_64
docbook-xsl,1.78.1,gcc@7.5.0,,linux-sles15-x86_64
dyninst,11.0.0,gcc@10.2.0,~ipo+openmp~stat_dysect~static build_type=RelWithDebInfo,cray-sles15-zen2
dyninst,11.0.0,gcc@10.2.0,~ipo+openmp~stat_dysect~static build_type=RelWithDebInfo,cray-sles15-zen2
dyninst,11.0.0,gcc@10.3.0,~ipo+openmp~stat_dysect~static build_type=RelWithDebInfo,cray-sles15-zen2
dyninst,11.0.0,gcc@10.3.0,~ipo+openmp~stat_dysect~static build_type=RelWithDebInfo,cray-sles15-zen2
eigen,3.3.9,gcc@10.2.0,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
eigen,3.3.9,gcc@10.3.0,~ipo build_type=RelWithDebInfo,cray-sles15-zen2
elfutils,0.182,gcc@10.2.0,~bzip2~debuginfod+nls~xz,cray-sles15-zen2
elfutils,0.182,gcc@10.3.0,~bzip2~debuginfod+nls~xz,cray-sles15-zen2
elfutils,0.182,gcc@10.2.0,+bzip2~debuginfod~nls+xz,cray-sles15-zen2
elfutils,0.182,gcc@10.3.0,+bzip2~debuginfod~nls+xz,cray-sles15-zen2
emacs,27.2,gcc@7.5.0,+X~native~tls toolkit=gtk,linux-sles15-x86_64
exmcutils,0.6.0,cce@12.0.0,,cray-sles15-zen2
exmcutils,0.6.0,cce@12.0.1,,cray-sles15-zen2
exmcutils,0.6.0,gcc@10.2.0,,cray-sles15-zen2
exmcutils,0.6.0,gcc@10.3.0,,cray-sles15-zen2
expat,2.3.0,cce@12.0.0,+libbsd,cray-sles15-zen2
expat,2.3.0,cce@12.0.1,+libbsd,cray-sles15-zen2
expat,2.3.0,gcc@7.5.0,+libbsd,linux-sles15-x86_64
expat,2.3.0,gcc@10.2.0,+libbsd,cray-sles15-zen2
expat,2.3.0,gcc@10.3.0,+libbsd,cray-sles15-zen2
faodel,1.1906.1,cce@12.0.0,~cereal~hdf5~ipo+mpi+shared~tcmalloc build_type=RelWithDebInfo logging=stdout network=nnti patches=0d8604c48c421da1a28e5c23493a55c367fc39ebdf054f2978b4b6f2108bef91,823eff7668eb4ac2bac4b2b337d9edbeb486d60fc5a98177e9c9b1883159ef68,cray-sles15-zen2
faodel,1.1906.1,cce@12.0.1,~cereal~hdf5~ipo+mpi+shared~tcmalloc build_type=RelWithDebInfo logging=stdout network=nnti patches=0d8604c48c421da1a28e5c23493a55c367fc39ebdf054f2978b4b6f2108bef91,823eff7668eb4ac2bac4b2b337d9edbeb486d60fc5a98177e9c9b1883159ef68,cray-sles15-zen2
faodel,1.1906.1,gcc@10.2.0,~cereal~hdf5~ipo+mpi+shared~tcmalloc build_type=RelWithDebInfo logging=stdout network=nnti patches=0d8604c48c421da1a28e5c23493a55c367fc39ebdf054f2978b4b6f2108bef91,823eff7668eb4ac2bac4b2b337d9edbeb486d60fc5a98177e9c9b1883159ef68,cray-sles15-zen2
faodel,1.1906.1,gcc@10.3.0,~cereal~hdf5~ipo+mpi+shared~tcmalloc build_type=RelWithDebInfo logging=stdout network=nnti patches=0d8604c48c421da1a28e5c23493a55c367fc39ebdf054f2978b4b6f2108bef91,823eff7668eb4ac2bac4b2b337d9edbeb486d60fc5a98177e9c9b1883159ef68,cray-sles15-zen2
fftw,3.3.9,cce@12.0.0,+mpi~openmp~pfft_patches precision=double,float,long_double,cray-sles15-zen2
fftw,3.3.9,cce@12.0.1,+mpi~openmp~pfft_patches precision=double,float,long_double,cray-sles15-zen2
fftw,3.3.9,gcc@10.2.0,+mpi~openmp~pfft_patches precision=double,float,long_double,cray-sles15-zen2
fftw,3.3.9,gcc@10.3.0,+mpi~openmp~pfft_patches precision=double,float,long_double,cray-sles15-zen2
findutils,4.8.0,gcc@7.5.0,,linux-sles15-x86_64
fixesproto,5.0,gcc@7.5.0,,linux-sles15-x86_64
flecsi,1.4,cce@12.0.0,~caliper+cinch~coverage~debug_backend~doc~doxygen~flecstan~flog~graphviz+hdf5~ipo~minimal+shared~tutorial backend=mpi build_type=Release,cray-sles15-zen2
flecsi,1.4,cce@12.0.1,~caliper+cinch~coverage~debug_backend~doc~doxygen~flecstan~flog~graphviz+hdf5~ipo~minimal+shared~tutorial backend=mpi build_type=Release,cray-sles15-zen2
flecsi,1.4,gcc@10.2.0,~caliper+cinch~coverage~debug_backend~doc~doxygen~flecstan~flog~graphviz+hdf5~ipo~minimal+shared~tutorial backend=mpi build_type=Release,cray-sles15-zen2
flecsi,1.4,gcc@10.3.0,~caliper+cinch~coverage~debug_backend~doc~doxygen~flecstan~flog~graphviz+hdf5~ipo~minimal+shared~tutorial backend=mpi build_type=Release,cray-sles15-zen2
flex,2.6.3,gcc@7.5.0,+lex~nls,linux-sles15-x86_64
flit,2.1.0,cce@12.0.0,,cray-sles15-zen2
flit,2.1.0,cce@12.0.1,,cray-sles15-zen2
flit,2.1.0,gcc@10.2.0,,cray-sles15-zen2
flit,2.1.0,gcc@10.3.0,,cray-sles15-zen2
font-util,1.3.2,gcc@7.5.0, fonts=encodings,font-adobe-100dpi,font-adobe-75dpi,font-adobe-utopia-100dpi,font-adobe-utopia-75dpi,font-adobe-utopia-type1,font-alias,font-arabic-misc,font-bh-100dpi,font-bh-75dpi,font-bh-lucidatypewriter-100dpi,font-bh-lucidatypewriter-75dpi,font-bh-type1,font-bitstream-100dpi,font-bitstream-75dpi,font-bitstream-speedo,font-bitstream-type1,font-cronyx-cyrillic,font-cursor-misc,font-daewoo-misc,font-dec-misc,font-ibm-type1,font-isas-misc,font-jis-misc,font-micro-misc,font-misc-cyrillic,font-misc-ethiopic,font-misc-meltho,font-misc-misc,font-mutt-misc,font-schumacher-misc,font-screen-cyrillic,font-sun-misc,font-winitzki-cyrillic,font-xfree86-type1,linux-sles15-x86_64
fontconfig,2.13.93,gcc@7.5.0,,linux-sles15-x86_64
fontsproto,2.1.3,gcc@7.5.0,,linux-sles15-x86_64
freetype,2.10.4,gcc@7.5.0,,linux-sles15-x86_64
fribidi,1.0.5,gcc@7.5.0,,linux-sles15-x86_64
gasnet,2020.3.0,cce@12.0.0,~aligned-segments~ibv+mpi+pshm~udp segment-mmap-max=16GB,cray-sles15-zen2
gasnet,2020.3.0,cce@12.0.1,~aligned-segments~ibv+mpi+pshm~udp segment-mmap-max=16GB,cray-sles15-zen2
gasnet,2020.3.0,gcc@10.2.0,~aligned-segments~ibv+mpi+pshm~udp segment-mmap-max=16GB,cray-sles15-zen2
gasnet,2020.3.0,gcc@10.3.0,~aligned-segments~ibv+mpi+pshm~udp segment-mmap-max=16GB,cray-sles15-zen2
gawk,5.1.0,gcc@7.5.0,,linux-sles15-x86_64
gdb,10.2,gcc@7.5.0,~gold~ld~lto+python~quad~source-highlight~tui+xz patches=0b73f4c573768130ab59fa218cfc352d1db9678423ce787012e46e589154745c,linux-sles15-x86_64
gdbm,1.19,cce@12.0.0,,cray-sles15-zen2
gdbm,1.19,cce@12.0.1,,cray-sles15-zen2
gdbm,1.19,gcc@7.5.0,,linux-sles15-x86_64
gdbm,1.19,gcc@10.2.0,,cray-sles15-zen2
gdbm,1.19,gcc@10.3.0,,cray-sles15-zen2
gdk-pixbuf,2.42.2,gcc@7.5.0,~man~x11,linux-sles15-x86_64
gettext,0.21,cce@12.0.0,+bzip2+curses+git~libunistring+libxml2+tar+xz,cray-sles15-zen2
gettext,0.21,cce@12.0.1,+bzip2+curses+git~libunistring+libxml2+tar+xz,cray-sles15-zen2
gettext,0.21,gcc@7.5.0,+bzip2+curses+git~libunistring+libxml2+tar+xz,linux-sles15-x86_64
gettext,0.21,gcc@10.2.0,+bzip2+curses+git~libunistring+libxml2+tar+xz,cray-sles15-zen2
gettext,0.21,gcc@10.2.0,+bzip2+curses+git~libunistring+libxml2+tar+xz,cray-sles15-zen2
gettext,0.21,gcc@10.3.0,+bzip2+curses+git~libunistring+libxml2+tar+xz,cray-sles15-zen2
gettext,0.21,gcc@10.3.0,+bzip2+curses+git~libunistring+libxml2+tar+xz,cray-sles15-zen2
ghostscript,9.54.0,gcc@7.5.0,,linux-sles15-x86_64
ghostscript-fonts,8.11,gcc@7.5.0,,linux-sles15-x86_64
giflib,5.1.4,gcc@7.5.0, patches=5cc0447986963199fa6f382ce7ef55dd033344a92d2145277d3c1def8190d258,linux-sles15-x86_64
git,2.31.1,cce@12.0.0,+man+nls+perl~svn~tcltk,cray-sles15-zen2
